delay,ion_y,ion_QS,ion_NA,ion_NA_reconstructed
465.13,0.003053535435,0.0014022780599509677,0.003087496368185505,0.0030900144685140907
425.1,0.003053495718,0.0014022780599509677,0.00308749622241844,0.0030900144685140907
385.07,0.003053932477,0.0014022780599509677,0.003087496221134356,0.0030900144685140907
345.05,0.003053291505,0.0014022780599509677,0.003087507540673995,0.003090014468515104
305.02,0.003053824481,0.0014022780599509677,0.003087507810100698,0.003090014468542999
264.99,0.003053649866,0.0014022780599509677,0.003087484515210237,0.003090014468513991
224.97,0.003053395777,0.0014022780599509677,0.003087499109023839,0.003090014468514724
184.94,0.003053953521,0.0014022780599509677,0.003087501525537273,0.0030900144951439756
144.91,0.003053554124,0.0014022780599509677,0.0030875134723018505,0.003090014066629495
104.88,0.003053860382,0.0014022787672268722,0.0030875660344076294,0.0030900285945129457
64.86,0.003062832725,0.0014030931769923871,0.0030935634636571896,0.0030930938267437437
60.53,0.003068111359,0.0014031397733114126,0.003094799393407288,0.0030929842712949848
56.21,0.003063056609,0.0014025334665297429,0.0030899105913436697,0.003090637589811216
51.89,0.003051564949,0.0014017146546552173,0.003083052575522216,0.0030877709026594594
47.56,0.003042045305,0.0014012438150176054,0.003080080311377409,0.0030864578221265907
43.24,0.003040273138,0.0014012035567639858,0.003081845115041615,0.0030871601763473363
38.91,0.003046545967,0.0014014514473427164,0.00308485721958629,0.003089005124592253
34.59,0.003057333651,0.0014025322478719016,0.0030883827263866737,0.0030917424379137736
30.27,0.003067472613,0.0014054838965237293,0.003096032452721942,0.003096015313778094
25.94,0.003071888289,0.0014095601328601992,0.0031070934947687867,0.0031005282553665113
21.62,0.003067789557,0.0014104477776419877,0.0031100946181740197,0.0031000226002311894
17.3,0.003055605929,0.0014034007018877137,0.0030925912588739557,0.003089388966154532
12.97,0.003038042276,0.0013899331915374624,0.003059259837968953,0.0030715952065225
8.65,0.003021724644,0.0013802144956009954,0.0030357378587052564,0.0030597753902167815
4.32,0.003018868858,0.0013847128904012074,0.0030464054984157274,0.0030665071951100804
0.0,0.003039578481,0.0014025446204219971,0.0030882099457942846,0.0030900449079946353
-4.32,0.00307600522,0.0014203632807571198,0.0031299921553447074,0.003113549909011524
-8.65,0.003101321212,0.001424811485457922,0.0031405807735070956,0.0031202239710679935
-12.97,0.003093810177,0.0014149749319759541,0.00311686822817403,0.003108396854828661
-17.3,0.003061155532,0.0014013546769354734,0.0030831986916600718,0.0030906673200838753
-21.62,0.00303256646,0.0013942099805254182,0.003065363094970852,0.0030800830136718366
-25.94,0.003027348653,0.0013950573975944902,0.0030682166918736264,0.003079464626522864
-30.27,0.003039710516,0.0013991059754513424,0.0030792379416830773,0.0030836862933331633
-34.59,0.00305317519,0.0014020390199974697,0.003086862211183039,0.003087788752736233
-38.91,0.003060529605,0.0014031186592065037,0.0030904408626721835,0.003090880993120625
-43.24,0.003064151749,0.001403379066206245,0.003093562033521624,0.0030935412898851294
-47.56,0.003064944686,0.0014033483243577338,0.003095384444489091,0.0030947752978604383
-51.89,0.003060039331,0.001402874282688149,0.0030924078456028292,0.00309302448505464
-56.21,0.003050211767,0.001402053952945459,0.0030855542375816114,0.003089021989683429
-60.53,0.003042512504,0.0014014525243476461,0.003080678974015205,0.0030858823849966243
-64.86,0.00304351152,0.0014014945492470954,0.003081842771531451,0.003085979788174117
-104.88,0.00305299353,0.0014022773538612254,0.003087436517126174,0.0030899944159700743
-144.91,0.003053740244,0.0014022780599509677,0.003087494426395443,0.003090015234060224
-184.94,0.003053670818,0.0014022780599509677,0.003087490956989347,0.0030900144548212985
-224.97,0.00305359294,0.0014022780599509677,0.0030874940725587052,0.003090014468513602
-264.99,0.003053611294,0.0014022780599509677,0.003087507888119956,0.0030900144685159807
-305.02,0.003053648819,0.0014022780599509677,0.003087507113484156,0.003090014468516606
-345.05,0.003053692727,0.0014022780599509677,0.0030875073510384654,0.003090014468514113
-385.07,0.003053689335,0.0014022780599509677,0.0030874962658803407,0.0030900144685140907
-425.1,0.003053626044,0.0014022780599509677,0.003087496273895818,0.0030900144685140907
-465.13,0.003053636997,0.0014022780599509677,0.003087496349636898,0.0030900144685140907
