delay,ion_y,ion_QS,ion_NA,ion_NA_reconstructed
483.29,0.6262253187,0.6569819149679629,0.5982683902531496,0.598190552537629
443.26,0.6262249295,0.6569819149679654,0.5982521379451893,0.598190552537629
403.23,0.6262251878,0.656981914967973,0.5982342051414609,0.598190552537629
363.21,0.6262268579,0.6569819149679614,0.59822506524762,0.5981905525376163
323.18,0.6262236852,0.6569819149679559,0.598204907249358,0.5981905525373261
283.15,0.626226429,0.6569819149679481,0.5981845293240469,0.5981905525375546
243.13,0.6262229434,0.6569819149679539,0.5981488800013153,0.5981905525379342
203.1,0.6262249928,0.6569819149679539,0.5981458823398292,0.5981905602666899
163.07,0.6262198407,0.6569818273120549,0.5981520280413889,0.5981906991786057
123.05,0.6262154573,0.6569812139962183,0.598111837776145,0.5982220398640762
83.02,0.6255425697,0.6564464748068972,0.597622240132704,0.5981970953226756
81.02,0.6255823367,0.6566444592386795,0.5980836393157614,0.5984137238742311
79.02,0.6256941241,0.6569214535464835,0.5986545431058803,0.5986300632678541
77.02,0.6258800801,0.6572603691364798,0.5992874554624033,0.598820331093384
75.02,0.6261357772,0.657634078904104,0.5999219561400551,0.5989616314004492
73.02,0.6264491125,0.658007787372466,0.600490606363598,0.5990378918791793
71.02,0.6267995926,0.6583425031767034,0.6009258863311122,0.599042536249789
69.02,0.6271583942,0.6585992534472026,0.6011676746975805,0.5989793040423779
67.01,0.6274911435,0.6587440488855097,0.6011699027842563,0.5988603413572178
65.01,0.6277542071,0.6587500904792187,0.6009079717733998,0.5987059149600706
63.01,0.6279094779,0.6586062465515135,0.6003835125057209,0.5985366881148102
61.01,0.6279234259,0.6583162653713528,0.5996255639615062,0.5983717784254757
59.01,0.6277756352,0.6579009858652711,0.5986917980119897,0.598225017883793
57.01,0.6274650149,0.657397436117501,0.5976660960166804,0.5981032985566992
55.01,0.6270137897,0.6568556573565656,0.5966517196915446,0.5980068875911331
53.01,0.6264677497,0.6563333957945634,0.5957596411191101,0.5979315542805705
51.01,0.6258919294,0.6558891621825695,0.5950935388453804,0.5978718690918086
49.01,0.6253619636,0.6555744792660414,0.5947343438819783,0.5978247027668826
47.01,0.6249524689,0.6554263833139825,0.594727290594072,0.5977918611141031
45.01,0.6247245434,0.6554613876518496,0.5950737924341134,0.5977809686323825
43.01,0.6247147036,0.6556720894380539,0.5957297270383553,0.5978041299924353
41.01,0.6249273403,0.6560273079722267,0.5966107764972284,0.5978744663118658
39.01,0.6253322294,0.6564760336184878,0.5976041458816097,0.5980012177150823
37.01,0.6258678906,0.6569546462231143,0.5985845596502183,0.5981845820651479
35.01,0.6264506413,0.6573961057978608,0.5994314707115054,0.5984116909030359
33.01,0.6269880795,0.6577394307688937,0.6000443481776683,0.5986550232224228
31.01,0.627394629,0.6579378897681093,0.6003538076274111,0.5988741196891101
29.01,0.6276060694,0.6579648090331743,0.6003278128734377,0.5990207686556067
27.01,0.627590023,0.6578164580366823,0.5999734491126776,0.5990470469101311
25.01,0.6273502899,0.6575118997696154,0.5993351527627876,0.598914894311966
23.01,0.6269244475,0.6570899445813816,0.5984897370328419,0.5986054367437657
21.0,0.6263727836,0.6566010581685988,0.5975330092453687,0.5981233653398592
19.0,0.6257782429,0.6561099715463701,0.5965871184654388,0.5975107952389234
17.0,0.6252166603,0.6556723057219132,0.5957561011923805,0.5968308547974663
15.0,0.624756386,0.655336675952124,0.5951301751555786,0.596169467134025
13.0,0.6244478811,0.655136876557271,0.5947700067827588,0.5956216112704891
11.0,0.6243198117,0.6550894847115492,0.5947018329182825,0.5952765809482474
9.0,0.6243789218,0.6551945962976211,0.5949192000640007,0.5952027367776789
