delay,ion_y,ion_QS,ion_NA
136.39,0.0050322208,0.00277953962197508,0.004147765061231823
83.02,0.005159872475,0.0027985214033715566,0.004211188363501539
81.02,0.005168882255,0.002797817936652125,0.004210868547077085
79.02,0.005166191702,0.0027953838377732243,0.004204643736171687
77.02,0.005151592543,0.002791440313916871,0.004193107374048877
75.02,0.005126504701,0.002786417917506223,0.00417756824851756
73.02,0.005093850064,0.002780888219184985,0.0041598888990572735
71.02,0.005057668426,0.002775469523333185,0.004142241869749763
69.02,0.005022495982,0.002770725135269436,0.004126706044691009
67.01,0.00499246134,0.0027670594336797194,0.0041149143669498844
65.01,0.004971087028,0.0027647265017982647,0.004108038165610339
63.01,0.004959804416,0.002763702948742508,0.0041061409170033425
61.01,0.004958414117,0.0027637977784776835,0.004108598504248606
59.01,0.004965176093,0.002764701072804132,0.004114147159115733
57.01,0.004977437409,0.002766082710143669,0.004121203324435552
55.01,0.004992441253,0.0027677033007751373,0.004128363138307667
53.01,0.005008074679,0.0027695170976490546,0.0041347167004446295
51.01,0.005023346273,0.0027717438429243346,0.004140197355330444
49.01,0.005038485899,0.0027748856843481384,0.0041455723328174265
47.01,0.00505468104,0.002779669074207902,0.004152329395645471
45.01,0.005073558068,0.002786902537050162,0.004162311798399654
43.01,0.005096553281,0.002797259652878581,0.004177146262584697
41.01,0.005124304757,0.0028110191901349335,0.004197771365331504
39.01,0.005156164516,0.0028278145857473236,0.0042239394425671595
37.01,0.005189911242,0.002846455676238979,0.004253885704318505
35.01,0.0052217401,0.0028648816697345314,0.004284303397499967
33.01,0.005246593822,0.0028802850708551375,0.00431059023066116
31.01,0.005258850482,0.002889415563657405,0.004327376461091159
29.01,0.005253294002,0.002889037802860872,0.00432927714943554
27.01,0.005226192427,0.0028764852663187845,0.004311830508930026
25.01,0.00517624411,0.002850229406396898,0.0042725171935645845
23.01,0.005105160529,0.0028103716673281154,0.004211539101263928
21.0,0.005017275152,0.0027586852386086713,0.004131917354165626
19.0,0.004920944922,0.002699779475568209,0.0040411737319093755
