delay,ion_y,ion_QS,ion_NA
254.99,0.01484249906,0.010953279260361826,0.015006849130390854
217.18,0.01484250332,0.010953279260361937,0.01500051579591577
179.38,0.01484233051,0.01095327926038081,0.01499982700934277
141.58,0.01484252199,0.01095327611451058,0.015000821718435087
103.77,0.01485905484,0.010958151490574441,0.015013205535096996
101.27,0.0148632988,0.010957391982791442,0.01501308029641002
98.77,0.01486401343,0.01095521491234186,0.015009566270393848
96.27,0.01485951562,0.010951428920467854,0.015002126899920865
93.77,0.0148488598,0.010946159486551088,0.014990997928121086
91.27,0.01483230601,0.01093993705139562,0.014977359584157246
88.77,0.01481162783,0.010933709484515997,0.014963338076012023
86.27,0.01479014736,0.010928755512992105,0.01495180863065626
83.77,0.01477239929,0.010926493718136254,0.014945983468419133
81.27,0.01476338109,0.010928201985702102,0.014948790473511497
78.77,0.01476745389,0.010934683378201582,0.014962105097320322
76.27,0.01478709684,0.010945937075161782,0.014985984973258759
73.77,0.01482183451,0.010960915936520155,0.015018133413471135
71.27,0.01486768832,0.010977466512030465,0.015053829489929504
68.77,0.01491741609,0.01099253700793057,0.01508647862305923
66.26,0.01496177018,0.01100271660715213,0.015108837698806665
63.76,0.0149906358,0.011004863665305398,0.015114300496098854
61.26,0.01499636747,0.010997250964163818,0.01509918590075976
58.76,0.01497514801,0.010980136465701285,0.015063729012451454
56.26,0.01492873601,0.010956231770220204,0.015012935092518886
53.76,0.01486496835,0.010930577743329728,0.014956326348914528
51.26,0.01479688431,0.010909807600150256,0.01490656689500569
48.76,0.01474041323,0.010900870302874344,0.014877087721210991
46.26,0.01471094658,0.010909425548352614,0.014879100423933922
43.76,0.01471950233,0.010938223565983507,0.014918601483278504
41.26,0.01476943655,0.01098583193866498,0.014994067426190916
38.76,0.01485463246,0.011046058946303394,0.015095485842329004
36.26,0.01495977346,0.011108339162225311,0.015205148737608143
33.76,0.01506278449,0.011159184423711221,0.015300282618224803
31.26,0.01513899206,0.011184572062283404,0.015357173222942389
28.76,0.01516617633,0.01117288683619555,0.01535605821127728
26.26,0.01512953167,0.011117827277568049,0.015285806934149715
23.76,0.01502557238,0.011020605152900265,0.015147354794586954
21.25,0.01486341196,0.01089028445828244,0.014954188905473842
18.75,0.01466713069,0.01074526437977008,0.014734427010968165
16.25,0.0144685185,0.0106076170009608,0.014522186189137809
13.75,0.01430385861,0.010501314838954334,0.014354661492499421
11.25,0.01420631572,0.010447303514477091,0.01426456160591183
8.75,0.01419893396,0.010459233110115429,0.01427354193334096
6.25,0.01428934864,0.010540315117522847,0.014387351254974035
3.75,0.01446754611,0.010682071516671998,0.014593833199010975
1.25,0.01470729493,0.010865364129851174,0.014864374340773812
0.0,0.01483875309,0.010964439649651325,0.015011338642016092
-1.25,0.01497097248,0.01106358085128345,0.015158652317456056
-3.75,0.01521669734,0.011247354525636855,0.01543179638662917
-6.25,0.01540618407,0.011389843476200978,0.01564252595834459
-8.75,0.01551167553,0.011471492905320013,0.0157606142499932
-11.25,0.01552063552,0.011483329426957956,0.015772171589240047
-13.75,0.01543743965,0.011428166878329815,0.01568170702771321
-16.25,0.01528190534,0.011319543025488432,0.015510603599557582
-18.75,0.01508504139,0.011178675603697674,0.015292395110289903
-21.25,0.01488284664,0.01103012998876951,0.015065904869545399
-23.76,0.01470874167,0.01089666797883948,0.014867050438955531
-26.26,0.01458986125,0.010797262170348376,0.014725333964830445
-28.76,0.01453832837,0.010741170353549157,0.014654615639725144
-31.26,0.01455279809,0.010729438676682967,0.014655240711830109
-33.76,0.01461934117,0.010755331395932988,0.014714823337506067
-36.26,0.01471568838,0.010806707584707476,0.01481221105102093
-38.76,0.01481685623,0.010869105614175645,0.014922670911797442
-41.26,0.01490069053,0.010928817078264208,0.015023084751775273
-43.76,0.01495206359,0.010975335387677032,0.015096099686559006
-46.26,0.01496498719,0.011002778187249707,0.015132541225968188
-48.76,0.01494251632,0.011010151106767507,0.015131853599647083
-51.26,0.0148948132,0.011000585905972748,0.015100776404560312
-53.76,0.01483603237,0.010979891711312084,0.015050803171346328
-56.26,0.01478080169,0.010954857138110285,0.014995134731861093
-58.76,0.01474105646,0.010931715537615294,0.01494582594499927
-61.26,0.01472384948,0.010915058210260287,0.01491166204662342
-63.76,0.01473050415,0.010907308384975889,0.014897052718715331
-66.26,0.01475713893,0.010908716936566809,0.01490196896073881
-68.77,0.01479642971,0.010917797952683439,0.014922840268473014
-71.27,0.01483906778,0.010931770895503679,0.014953477445796781
-73.77,0.01487687472,0.010947501521231917,0.014987126135606266
-76.27,0.01490380768,0.010962038976432331,0.01501756664569398
-78.77,0.01491695296,0.010973151701111683,0.015040212579954026
-81.27,0.01491656375,0.0109796210123847,0.01505267676250377
-83.77,0.01490541692,0.010981287992419153,0.015054830269280117
-86.27,0.01488775349,0.010978879741135095,0.015048418778178085
-88.77,0.01486811493,0.010973687451279912,0.015036376186390421
-91.27,0.01485035533,0.010967193651336915,0.01502202157862631
-93.77,0.01483701727,0.010960742079888064,0.015008331038521283
-96.27,0.01482913515,0.01095531499922242,0.014997435071655851
-98.77,0.0148264119,0.01095144202183207,0.014990413206991349
-101.27,0.01482763527,0.010949226648745425,0.014987364515775203
-103.77,0.01483117752,0.010948452360143746,0.014987660766517807
-141.58,0.01484459509,0.010953282407079268,0.014999271532600389
-179.38,0.01484576933,0.010953279260343063,0.015000076465409795
-217.18,0.01484086576,0.010953279260361937,0.015001888602797497
-254.99,0.01483963434,0.010953279260361937,0.01500766212677851
-292.79,0.01484220562,0.010953279260361937,0.01500370982433541
-330.59,0.01484520588,0.010953279260361937,0.015009293007435809
-368.39,0.01484287873,0.010953279260361937,0.01500315044208722
-406.2,0.01483988713,0.010953279260361937,0.015005713317588931
-444.0,0.01484219138,0.010953279260361937,0.015000404491059105
-481.8,0.01484483685,0.010953279260361937,0.015001140554802284
