delay,ion_y,ion_QS,ion_NA
368.39,0.01484254209,0.004024977443898736,0.03832756615998778
330.59,0.01484235537,0.004024977443898736,0.03833339802484059
292.79,0.01484228719,0.004024977443898736,0.03832897944772862
254.99,0.01484249906,0.004024977443898736,0.03832706869294222
217.18,0.01484250332,0.004024977443898736,0.03829402633655943
179.38,0.01484233051,0.004024977443898958,0.03835503154609021
141.58,0.01484252199,0.004024977037694555,0.0383555393700683
103.77,0.01485905484,0.004026086886089297,0.03833644357094346
101.27,0.0148632988,0.004025967309905343,0.03834077990186546
98.77,0.01486401343,0.004025535945814118,0.038343397084891984
96.27,0.01485951562,0.0040247409602137685,0.03834282221197027
93.77,0.0148488598,0.0040236012470430405,0.03833790316951102
91.27,0.01483230601,0.004022228299902952,0.038328255549066714
88.77,0.01481162783,0.004020830842262013,0.03831463088136888
86.27,0.01479014736,0.004019697230175812,0.0382990749676011
83.77,0.01477239929,0.004019154652554757,0.03828477166558342
81.27,0.01476338109,0.004019507231388553,0.03827552998471817
78.77,0.01476745389,0.004020957312073858,0.03827496078835568
76.27,0.01478709684,0.0040235179007670485,0.03828548558687528
73.77,0.01482183451,0.004026932180827059,0.038307400124168
71.27,0.01486768832,0.0040306278271375895,0.03833825538621294
68.77,0.01491741609,0.004033742918152949,0.03837279864934329
66.26,0.01496177018,0.004035257556070704,0.03840373317035206
63.76,0.0149906358,0.004034218366780973,0.03842260749259663
61.26,0.01499636747,0.0040301008055499965,0.03842251375122463
58.76,0.01497514801,0.00402309160783787,0.03839960691871014
56.26,0.01492873601,0.004014311101569024,0.038354965642755756
53.76,0.01486496835,0.004005824331613894,0.038295449093693534
51.26,0.01479688431,0.004000395063429418,0.03823326453594644
48.76,0.01474041323,0.004000984762325355,0.038184068053728315
46.26,0.01471094658,0.004010058471333955,0.03816376880155037
43.76,0.01471950233,0.004028812418557015,0.03818458792392665
41.26,0.01476943655,0.0040564827642176615,0.03825123766430394
38.76,0.01485463246,0.004089926535387756,0.038358229168791835
36.26,0.01495977346,0.004123666438985207,0.03848921088264934
33.76,0.01506278449,0.004150533513029742,0.038618865163134175
31.26,0.01513899206,0.004162910026224154,0.03871730992385147
28.76,0.01516617633,0.00415438995105355,0.03875629844854256
26.26,0.01512953167,0.00412149672999762,0.038715955695174054
23.76,0.01502557238,0.004065006243815228,0.038590493366784995
21.25,0.01486341196,0.0039901493233057694,0.03839049983418452
18.75,0.01466713069,0.003907403105615992,0.038146116782293626
16.25,0.0144685185,0.0038291770110362444,0.037897836910213645
