delay,ion_y,ion_QS,ion_NA
616.71,2.248205844,0.828342831882921,0.8158805254800066
563.34,2.248197131,0.8283428318829151,0.8165332237917611
509.97,2.248199434,0.8283428318829168,0.8163777901725837
456.6,2.248215091,0.8283428318829187,0.8159122517772067
403.23,2.248219196,0.8283428318829259,0.8165332673558342
349.86,2.248199385,0.8283428318829176,0.8163771056778774
296.49,2.248197496,0.8283428318829176,0.8163768654568806
243.13,2.2481951,0.8283428318829182,0.8163777523139707
189.76,2.248206484,0.8283428069650498,0.8163793947937894
136.39,2.247944972,0.8283698977714459,0.8164290873472644
83.02,2.272183237,0.8291873456991761,0.8179537782783295
81.02,2.266007866,0.8290955586988925,0.8175900770809106
79.02,2.257810344,0.8289546189252883,0.8171156210658355
77.02,2.248549389,0.8287721079391084,0.8165600973508533
75.02,2.239348322,0.8285587015626876,0.815960871810815
73.02,2.231319449,0.8283274943648592,0.815360525263721
71.02,2.225387387,0.8280932205910019,0.8148038577328466
69.02,2.22214672,0.8278714131467333,0.8143341141006257
67.01,2.221787881,0.8276766373679564,0.8139874432356738
65.01,2.22408631,0.827525281537671,0.8137953954462768
63.01,2.228464528,0.8274286095126755,0.8137717319551335
61.01,2.234136633,0.8273957984609975,0.8139190276208347
59.01,2.240244124,0.8274318530905153,0.8142270289587288
57.01,2.2459919,0.827536742121133,0.8146744108009154
55.01,2.250751982,0.8277048816757051,0.8152314424503716
53.01,2.254122515,0.8279251304646807,0.815862984436461
51.01,2.255940699,0.8281813898799304,0.8165312193985811
49.01,2.256257004,0.8284537871712764,0.8171977029562589
47.01,2.255283379,0.8287203052138069,0.8178247306030706
45.01,2.253330197,0.8289586546762397,0.8183763860123747
43.01,2.250745836,0.8291481831252049,0.8188195957502344
41.01,2.247869409,0.8292716609119202,0.8191252295273593
39.01,2.245002094,0.8293168347208321,0.8192692974382841
37.01,2.242396804,0.8292776650358874,0.8192344536687
35.01,2.240261063,0.8291551572001028,0.8190116840366859
33.01,2.238764835,0.8289576707588497,0.8186018129180539
31.01,2.238044656,0.8287005713157097,0.8180167115169046
29.01,2.238197592,0.8284051015745153,0.8172802198178823
27.01,2.23926312,0.8280964240643987,0.8164285264741908
25.01,2.241196909,0.8278009438256939,0.8155094027217016
23.01,2.243846024,0.8275432309687465,0.8145799601055019
21.0,2.246954276,0.8273422223179705,0.8136989016950955
19.0,2.250112621,0.8272126439000043,0.8129388622829811
17.0,2.252900485,0.8271578086845315,0.8123535709181379
15.0,2.254894235,0.8271742837344209,0.8119899496707595
13.0,2.255760552,0.8272522747481234,0.8118786302837327
11.0,2.255325325,0.8273780402485993,0.8120311075634188
9.0,2.253618641,0.8275366348348214,0.8124393554033602
7.0,2.250888126,0.827714426434287,0.8130776526255561
5.0,2.247575499,0.8279009320048768,0.8139058605536639
3.0,2.244251952,0.8280896835689617,0.8148732867697789
1.0,2.241514778,0.8282780334739426,0.8159225252408536
0.0,2.24052938,0.8283720082962867,0.8164589332562864
-1.0,2.239864016,0.8284660085529616,0.8169930259916621
-3.0,2.239594233,0.8286545075760046,0.8180243956729779
-5.0,2.240737323,0.8288432797224909,0.8189594910609352
-7.0,2.243072668,0.8290291884952378,0.8197473062019616
-9.0,2.246194059,0.8292052209852403,0.82034559562591
-11.0,2.24960586,0.8293605360539162,0.8207231574527071
-13.0,2.252819427,0.8294815903167467,0.8208616594293805
-15.0,2.25542898,0.8295541135352315,0.8207568368362052
-17.0,2.257156937,0.82956551237306,0.8204189162266514
-19.0,2.257869422,0.8295072183059631,0.8198722142030906
-21.0,2.257570572,0.829376557830199,0.8191539096112699
-23.01,2.256377808,0.8291767110753269,0.8183075278399611
-25.01,2.254527262,0.8289212664019838,0.8173974896571145
-27.01,2.252306399,0.8286274503466127,0.816479619673828
-29.01,2.250036736,0.8283182515976732,0.8156132007125382
-31.01,2.248027632,0.8280193502573664,0.8148521238508868
-33.01,2.246535376,0.8277564293583944,0.8142403917255436
-35.01,2.245730539,0.827552350321726,0.8138090389905575
-37.01,2.245679209,0.8274245661446051,0.813574751151065
-39.01,2.246341236,0.8273831590962291,0.8135400822961779
-41.01,2.247585157,0.8274298216304826,0.8136950827024201
-43.01,2.249215747,0.827557939144544,0.8140197437777371
-45.01,2.251006973,0.8277537135685866,0.8144864332163875
-47.01,2.252731916,0.8279980597390537,0.8150619076603685
-49.01,2.254183367,0.8282688871086429,0.8157090615533735
-51.01,2.255184305,0.8285433806929251,0.8163885668971731
-53.01,2.255593374,0.8287999931402622,0.8170604321309756
-55.01,2.255312749,0.8290199967443689,0.8176856544240171
-57.01,2.254302616,0.8291885657160047,0.8182280456233133
