delay,ion_y,ion_QS,ion_NA,ion_NA_reconstructed
481.8,0.01484237932,0.0087637683609052,0.0143850310817192,0.014383039331531733
444.0,0.01484228537,0.0087637683609052,0.0143808942933061,0.014383039331531733
406.2,0.01484246561,0.0087637683609052,0.0143869501916751,0.014383039331531733
368.39,0.01484254209,0.0087637683609052,0.0143776663505996,0.014383039331528402
330.59,0.01484235537,0.0087637683609052,0.014387492449132,0.014383039331197778
292.79,0.01484228719,0.0087637683609052,0.0143770060308399,0.014383039330976843
254.99,0.01484249906,0.0087637683609052,0.0143872110036058,0.014383039331539504
217.18,0.01484250332,0.0087637683609052,0.0143793277396488,0.014383039327048097
179.38,0.01484233051,0.008763768360907,0.0143837230712383,0.014383039931686326
141.58,0.01484252199,0.0087637668140987,0.0143840186270551,0.014383075466944839
103.77,0.01485905484,0.0087670640625282,0.0143946571653357,0.014387997291074983
101.27,0.0148632988,0.0087666443134996,0.0143955057509645,0.014386611237313884
98.77,0.01486401343,0.0087652854627976,0.0143935035511459,0.01438359700662184
96.27,0.01485951562,0.0087628435580594,0.0143878561885026,0.014378860581023445
93.77,0.0148488598,0.0087593857689788,0.0143784393387078,0.014372681807461096
91.27,0.01483230601,0.0087552526954901,0.0143660570514679,0.01436578444137504
88.77,0.01481162783,0.0087510694042119,0.0143525348709786,0.014359315177845833
86.27,0.01479014736,0.0087476898954754,0.0143405950568901,0.014354709036801472
83.77,0.01477239929,0.0087460721172234,0.0143334857643701,0.014353442327207588
81.27,0.01476338109,0.0087470926670772,0.0143343657021276,0.014356703923837255
78.77,0.01476745389,0.0087513211853322,0.0143455002469976,0.0143650443661264
76.27,0.01478709684,0.0087587873747941,0.0143674105635862,0.014378082966157057
73.77,0.01482183451,0.0087687917594115,0.0143982066213547,0.01439435891040619
71.27,0.01486768832,0.0087798306248949,0.0144333742754474,0.014411398644201046
68.77,0.01491741609,0.0087897114147946,0.0144662284298842,0.014426037538796233
66.26,0.01496177018,0.0087959230051017,0.0144891448615455,0.014435002646168482
63.76,0.0149906358,0.0087961341919434,0.0144949579646231,0.014435522486323515
61.26,0.01499636747,0.0087890634064284,0.0144794670321698,0.014426322149946436
58.76,0.01497514801,0.0087750000817038,0.0144426189391747,0.014408064724611092
56.26,0.01492873601,0.0087562164473278,0.0143894978047777,0.014383699849871645
53.76,0.01486496835,0.0087369035318468,0.0143301091304388,0.014358291326954431
51.26,0.01479688431,0.0087225881323096,0.0142779491926937,0.014338302128791836
48.76,0.01474041323,0.0087190777337474,0.0142474921956635,0.014330381114616375
46.26,0.01471094658,0.008731098077412,0.0142509893142267,0.01433982783879273
43.76,0.01471950233,0.0087608772723305,0.0142951953464141,0.01436903083112262
41.26,0.01476943655,0.0088069838371913,0.0143787691050053,0.014416246384902465
38.76,0.01485463246,0.0088637385940871,0.0144910764870638,0.014475079559806425
36.26,0.01495977346,0.0089214742644857,0.0146129207295578,0.014534931497715786
33.76,0.01506278449,0.0089677869787723,0.0147193418057991,0.01458249409356649
