,t(fs),t(au),Field(t),Apot(t)
296,-5.364548597154012,-221.7778062,0.0001666788079,-0.001141237457
297,-5.356928499543078,-221.4627809,0.0001713940963,-0.001194486832
298,-5.349308401932142,-221.1477556,0.0001761610107,-0.00124922983
299,-5.341688304321208,-220.8327303,0.0001809773244,-0.001305482368
300,-5.334068206710272,-220.517705,0.0001858406857,-0.00136325964
301,-5.326448111518221,-220.2026798,0.0001907486161,-0.001422576081
302,-5.318828013907287,-219.8876545,0.0001956985084,-0.001483445324
303,-5.311207916296352,-219.5726292,0.0002006876245,-0.00154588016
304,-5.303587818685417,-219.2576039,0.000205713094,-0.001609892497
305,-5.295967721074482,-218.9425786,0.0002107719121,-0.001675493318
306,-5.2883476234635465,-218.6275533,0.000215860938,-0.001742692637
307,-5.280727525852612,-218.312528,0.0002209768933,-0.001811499457
308,-5.273107428241677,-217.9975027,0.0002261163605,-0.001881921727
309,-5.265487330630743,-217.6824774,0.0002312757816,-0.001953966298
310,-5.257867233019807,-217.3674521,0.0002364514562,-0.002027638876
311,-5.2502471354088724,-217.0524268,0.000241639541,-0.00210294398
312,-5.242627037797937,-216.7374015,0.0002468360478,-0.002179884895
313,-5.235006940187002,-216.4223762,0.000252036843,-0.002258463627
314,-5.227386842576067,-216.1073509,0.000257237646,-0.002338680857
315,-5.219766747384016,-215.7923257,0.0002624340288,-0.002420535893
316,-5.212146649773081,-215.4773004,0.0002676214148,-0.002504026627
317,-5.204526552162146,-215.1622751,0.0002727950782,-0.002589149482
318,-5.196906454551211,-214.8472498,0.0002779501432,-0.002675899373
319,-5.1892863569402765,-214.5322245,0.0002830815838,-0.002764269652
320,-5.181666259329342,-214.2171992,0.0002881842232,-0.002854252067
321,-5.174046161718406,-213.9021739,0.0002932527335,-0.002945836708
322,-5.166426064107472,-213.5871486,0.0002982816355,-0.003039011965
323,-5.158805966496536,-213.2721233,0.000303265299,-0.003133764477
324,-5.151185868885602,-212.957098,0.0003081979423,-0.003230079087
325,-5.143565771274667,-212.6420727,0.000313073633,-0.003327938791
326,-5.1359456736637314,-212.3270474,0.0003178862881,-0.003427324694
327,-5.128325576052797,-212.0120221,0.0003226296742,-0.00352821596
328,-5.120705478441861,-211.6969968,0.0003272974087,-0.003630589766
329,-5.113085383249811,-211.3819716,0.0003318829602,-0.003734421255
330,-5.105465285638876,-211.0669463,0.0003363796495,-0.003839683489
331,-5.097845188027941,-210.751921,0.0003407806506,-0.003946347402
332,-5.0902250904170065,-210.4368957,0.0003450789919,-0.004054381757
