,t(fs),t(au),Field(t),Apot(t)
1165,1.2573160775033259,51.97917333,-4.173754000000307e-05,0.29492796539999994
1166,1.2649361751142607,52.29419863,-4.0921339999999695e-05,0.28052746509999993
1167,1.2725562724833073,52.60922392,-4.001671000000012e-05,0.2661341844
1168,1.2801763698523538,52.92424921,-3.9032310000006176e-05,0.25175317109999995
1169,1.2877964672214004,53.2392745,-3.7976559999999826e-05,0.2373894402
1170,1.2954165648323355,53.5542998,-3.685778000000334e-05,0.22304797399999998
1171,1.3030366622013818,53.86932509,-3.568400999999499e-05,0.2087337186
1172,1.3106567595704284,54.18435038,-3.4463089999998975e-05,0.1944515826
1173,1.3182768571813634,54.49937568,-3.3202580000002424e-05,0.180206435
1174,1.32589695455041,54.81440097,-3.1909769999997895e-05,0.1660031035
1175,1.3335170519194566,55.12942626,-3.0591679999997234e-05,0.1518463719
1176,1.3411371495303914,55.44445156,-2.925497999999721e-05,0.1377409794
1177,1.348757246899438,55.75947685,-2.7906070000000005e-05,0.12369161690000001
1178,1.3563773442684846,56.07450214,-2.6550970000004115e-05,0.1097029277
1179,1.3639974416375311,56.38952743,-2.519540999999792e-05,0.09577950333999999
1180,1.3716175392484662,56.70455273,-2.3844750000001635e-05,0.08192588304000001
1181,1.3792376366175128,57.01957802,-2.250399999999958e-05,0.06814655180000001
1182,1.3868577339865593,57.33460331,-2.1177850000005105e-05,0.05444593861
1183,1.3944778315974944,57.64962861,-1.9870599999999294e-05,0.04082841485000001
1184,1.402097928966541,57.9646539,-1.858624000000003e-05,0.027298292570000004
1185,1.4097180263355875,58.27967919,-1.7328380000000698e-05,0.013859822919999999
1186,1.4173381237046339,58.59470448,-1.6100310000002893e-05,0.0005171946992
1187,1.424958221315569,58.90972978,-1.4904959999999245e-05,-0.0127254673
1188,1.4325783186846155,59.22475507,-1.3744960000006134e-05,-0.02586410367
1189,1.440198416053662,59.53978036,-1.2622570000002387e-05,-0.03889472188
1190,1.447818513664597,59.85480566,-1.1539769999999172e-05,-0.05181339764
1191,1.4554386110336435,60.16983095,-1.0498249999997544e-05,-0.06461627623
1192,1.46305870840269,60.48485624,-9.499369999999008e-06,-0.0772995739
1193,1.4706788057717366,60.79988153,-8.544220000003544e-06,-0.08985957900999998
1194,1.4782989033826717,61.11490683,-7.63362999999656e-06,-0.10229265339999999
1195,1.485919000751718,61.42993212,-6.768160000003576e-06,-0.11459523330000002
1196,1.4935390981207646,61.74495741,-5.9481399999963824e-06,-0.12676383089999999
1197,1.5011591957316996,62.05998271,-5.173659999996305e-06,-0.13879503510000002
1198,1.5087792931007462,62.375008,-4.444599999993415e-06,-0.15068551249999998
1199,1.5163993904697928,62.69003329,-3.7606199999942747e-06,-0.16243200859999998
1200,1.5240194880807278,63.00505859,-3.1212500000016297e-06,-0.17403134869999998
1201,1.5316395854497744,63.32008388,-2.5257799999983677e-06,-0.18548043860000002
1202,1.539259682818821,63.63510917,-1.973379999999081e-06,-0.1967762661
1203,1.5468797801878675,63.95013446,-1.4630900000006664e-06,-0.20791590059999998
1204,1.5544998777988026,64.26515976,-9.937799999998331e-07,-0.21889649549999998
1205,1.562119975167849,64.58018505,-5.642299999997213e-07,-0.229715287
1206,1.5697400725368957,64.89521034,-1.7313000000296341e-07,-0.24036959649999998
1207,1.5773601701478304,65.21023564,1.8093000000302117e-07,-0.2508568302
1208,1.5849802675168772,65.52526093,4.994299999949714e-07,-0.2611744799
1209,1.5926003648859235,65.84028622,7.838999999953966e-07,-0.271320124
1210,1.6002204622549703,66.15531151,1.035949999998731e-06,-0.2812914268
1211,1.6078405598659053,66.47033681,1.257179999998581e-06,-0.29108614039999997
1212,1.6154606572349517,66.7853621,1.449270000002112e-06,-0.3007021039
1213,1.623080754603998,67.10038739,1.6138599999993009e-06,-0.31013724470000004
