,index,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,Field_8,Field_9,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_16,Field_17,Field_18
0,probabilities,0.0009901133748,0.0009901632772,0.0009901644982,0.0009901128478,0.0009901528474,0.000990173532,0.0009901172083,0.0009901419376,0.0009901819007,0.0009901428418,0.0009916465699,0.0009923942827,0.000983334031,0.0009886381403,0.001007160747,0.0009811167868,0.0009757880232,0.001048801015,0.0009997795621
1,delays,481.8,444.0,406.2,368.39,330.59,292.79,254.99,217.18,179.38,141.58,103.77,93.4,83.02,72.64,62.26,51.89,41.51,31.13,20.75
