,index,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,Field_8,Field_9,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_16,Field_17,Field_18,Field_19,Field_20,Field_21,Field_22,Field_23,Field_24,Field_25,Field_26,Field_27,Field_28,Field_29,Field_30,Field_31,Field_32,Field_33,Field_34,Field_35,Field_36,Field_37,Field_38,Field_39,Field_40,Field_41,Field_42,Field_43,Field_44,Field_45,Field_46,Field_47,Field_48,Field_49,Field_50,Field_51,Field_52,Field_53,Field_54,Field_55,Field_56,Field_57,Field_58,Field_59,Field_60,Field_61,Field_62,Field_63,Field_64,Field_65,Field_66,Field_67,Field_68,Field_69,Field_70,Field_71,Field_72,Field_73,Field_74,Field_75,Field_76,Field_77,Field_78,Field_79,Field_80,Field_81,Field_82,Field_83,Field_84,Field_85,Field_86,Field_87,Field_88,Field_89,Field_90,Field_91,Field_92,Field_93,Field_94,Field_95,Field_96,Field_97,Field_98,Field_99,Field_100,Field_101,Field_102,Field_103,Field_104,Field_105
0,probabilities,0.6262253187,0.6262249295,0.6262251878,0.6262268579,0.6262236852,0.626226429,0.6262229434,0.6262249928,0.6262198407,0.6262154573,0.6255425697,0.6255823367,0.6256941241,0.6258800801,0.6261357772,0.6264491125,0.6267995926,0.6271583942,0.6274911435,0.6277542071,0.6279094779,0.6279234259,0.6277756352,0.6274650149,0.6270137897,0.6264677497,0.6258919294,0.6253619636,0.6249524689,0.6247245434,0.6247147036,0.6249273403,0.6253322294,0.6258678906,0.6264506413,0.6269880795,0.627394629,0.6276060694,0.627590023,0.6273502899,0.6269244475,0.6263727836,0.6257782429,0.6252166603,0.624756386,0.6244478811,0.6243198117,0.6243789218,0.6246127461,0.6249939129,0.6254848441,0.6260419897,0.6263309935,0.6266191758,0.6271700865,0.6276502439,0.6280190346,0.6282422939,0.6282956677,0.6281684755,0.6278672724,0.6274179729,0.6268654394,0.6262698879,0.6256975173,0.62522282,0.6249010922,0.6247713787,0.6248470839,0.625113451,0.6255295392,0.6260344092,0.6265564183,0.6270239766,0.6273758942,0.6275695822,0.6275858643,0.6274298953,0.6271284436,0.6267243993,0.6262696937,0.6258178913,0.625417567,0.6251072697,0.6249124647,0.624844433,0.6249007943,0.6250682538,0.625321082,0.6256292024,0.6259586043,0.6262755693,0.6265504199,0.6267608528,0.6268941959,0.6262463686,0.626233583,0.626193928,0.6262248056,0.6262315918,0.6262235019,0.6262122327,0.6262245337,0.6262376546,0.626240266,0.6262239523
1,delays,483.29,443.26,403.23,363.21,323.18,283.15,243.13,203.1,163.07,123.05,83.02,81.02,79.02,77.02,75.02,73.02,71.02,69.02,67.01,65.01,63.01,61.01,59.01,57.01,55.01,53.01,51.01,49.01,47.01,45.01,43.01,41.01,39.01,37.01,35.01,33.01,31.01,29.01,27.01,25.01,23.01,21.0,19.0,17.0,15.0,13.0,11.0,9.0,7.0,5.0,3.0,1.0,0.0,-1.0,-3.0,-5.0,-7.0,-9.0,-11.0,-13.0,-15.0,-17.0,-19.0,-21.0,-23.01,-25.01,-27.01,-29.01,-31.01,-33.01,-35.01,-37.01,-39.01,-41.01,-43.01,-45.01,-47.01,-49.01,-51.01,-53.01,-55.01,-57.01,-59.01,-61.01,-63.01,-65.01,-67.01,-69.02,-71.02,-73.02,-75.02,-77.02,-79.02,-81.02,-83.02,-123.05,-163.07,-203.1,-243.13,-283.15,-323.18,-363.21,-403.23,-443.26,-483.29,0.0
