,index,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7,Field_8,Field_9,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_16,Field_17,Field_18,Field_19,Field_20,Field_21,Field_22,Field_23,Field_24,Field_25,Field_26,Field_27,Field_28,Field_29,Field_30,Field_31,Field_32,Field_33,Field_34,Field_35,Field_36,Field_37,Field_38,Field_39,Field_40,Field_41,Field_42,Field_43,Field_44,Field_45,Field_46,Field_47,Field_48,Field_49,Field_50,Field_51
0,probabilities,0.003053535435,0.003053495718,0.003053932477,0.003053291505,0.003053824481,0.003053649866,0.003053395777,0.003053953521,0.003053554124,0.003053860382,0.003062832725,0.003068111359,0.003063056609,0.003051564949,0.003042045305,0.003040273138,0.003046545967,0.003057333651,0.003067472613,0.003071888289,0.003067789557,0.003055605929,0.003038042276,0.003021724644,0.003018868858,0.003039578481,0.00307600522,0.003101321212,0.003093810177,0.003061155532,0.00303256646,0.003027348653,0.003039710516,0.00305317519,0.003060529605,0.003064151749,0.003064944686,0.003060039331,0.003050211767,0.003042512504,0.00304351152,0.00305299353,0.003053740244,0.003053670818,0.00305359294,0.003053611294,0.003053648819,0.003053692727,0.003053689335,0.003053626044,0.003053636997,0.003053627127
1,delays,465.13,425.1,385.07,345.05,305.02,264.99,224.97,184.94,144.91,104.88,64.86,60.53,56.21,51.89,47.56,43.24,38.91,34.59,30.27,25.94,21.62,17.3,12.97,8.65,4.32,0.0,-4.32,-8.65,-12.97,-17.3,-21.62,-25.94,-30.27,-34.59,-38.91,-43.24,-47.56,-51.89,-56.21,-60.53,-64.86,-104.88,-144.91,-184.94,-224.97,-264.99,-305.02,-345.05,-385.07,-425.1,-465.13,0.0
